const,climate_change,quality_of_life,score_welfare_vehicle_ownership_license,LOW,HIGH,y_price,y_acceptability,weights
1.0,0.0,0.0,0.47037073820538944,0,0,0.0,0.0,2452.513475398688
1.0,0.8,0.9,0.43037271495835494,0,1,5.0,0.8,1805.9644067585923
1.0,1.0,1.0,0.5,0,0,1.5,0.0,3995.0421434245236
1.0,1.0,1.0,0.46695413484779524,0,0,0.0,1.0,2983.1769870096127
1.0,0.0,0.0,0.47027508004382695,0,1,0.0,0.0,11286.221264026852
1.0,0.0,0.0,0.3272925739689975,1,0,0.0,0.0,2452.513475398688
1.0,0.0,0.0,0.46887443702984927,0,0,0.0,0.0,1713.014726077213
1.0,0.5,0.5,0.46996493665667044,0,0,1.0,0.2,2452.513475398688
1.0,1.0,1.0,0.4779372651296425,0,1,0.5,0.6,3787.874320981247
1.0,1.0,1.0,0.4812466117997543,0,0,1.5,0.8,1709.7350669178422
1.0,0.0,0.0,0.4758310960685967,0,0,0.0,0.0,2983.1769870096127
1.0,0.7,1.0,0.4447744691714113,1,0,0.0,0.0,4728.606132474917
1.0,0.4,0.5,0.5,0,0,2.5,0.5,2182.188595031281
1.0,0.6,0.7,0.49169402886985214,0,0,2.5,0.8,1848.743563849006
1.0,0.4,0.4,0.4772062596378716,0,0,1.5,0.0,2206.054422184021
1.0,0.5,0.5,0.4859136811559774,0,1,0.0,0.2,1713.014726077213
1.0,0.0,0.0,0.48739126328573984,0,0,0.0,0.0,1848.743563849006
1.0,0.0,0.0,0.49091895590816986,0,1,0.0,0.0,2985.2009853236436
1.0,1.0,1.0,0.47315823967137866,0,0,2.5,1.0,2036.449765309154
1.0,0.5,1.0,0.47377771932303564,0,0,1.0,0.0,1408.6986561824904
1.0,0.7,0.8,0.47657356117794947,0,1,2.5,0.5,3541.6757477581527
1.0,0.0,0.5,0.4722671601467542,0,0,0.0,0.0,3365.0505108892385
1.0,1.0,1.0,0.4661733112485437,0,0,2.5,1.0,2983.1769870096127
1.0,1.0,1.0,0.46425381793792914,0,0,0.5,0.5,1903.419191953312
1.0,1.0,1.0,0.46833582662962464,0,0,1.0,1.0,1590.7750619265485
1.0,0.0,0.0,0.47403114000348434,0,1,1.0,0.0,3787.874320981247
1.0,0.0,0.0,0.447044743997034,1,0,0.0,0.0,1848.743563849006
1.0,0.6,1.0,0.4781125941467514,0,1,3.0,0.4,1408.6986561824904
